id,question,choice_0,choice_1,choice_2,choice_3,answer,gemma,gemma_conf,gemma_it,gemma_it_conf
0,"Un pasajero entró en un vagón del metro en la estación de 42nd Street. Debido a que todos los asientos estaban ocupados, el pasajero permaneció de pie en el vagón y se sujetó a un poste para mantener el equilibrio. Mientras el vagón avanzaba hacia el centro de la ciudad, el pasajero miró a una joven que estaba de pie junto a él. De repente, el vagón se detuvo de forma inesperada. El pasajero perdió momentáneamente el equilibrio y sujetó a la joven por la cintura (para evitar caerse). Una vez que recuperó el equilibrio, retiró las manos de la cintura de la joven y volvió a sujetarse al poste. En una acción civil interpuesta por la joven contra el pasajero, lo más probable es que este sea declarado",responsable por agresión (battery).,"responsable, porque el pasajero creyó que la joven consentía el contacto dadas las circunstancias.","no responsable, porque la conducta del pasajero era socialmente aceptable dadas las circunstancias.","no responsable, porque la joven no sufrió daño alguno por el contacto.",C,B,0.3287,A,0.475
1,"Una madre llevó a su hija de cinco años a la sala de urgencias de un hospital para que recibiera tratamiento. Un médico del personal del hospital abusó sexualmente de la niña mientras la trataba. En ese momento no había nadie en la sala de tratamiento salvo el médico y la niña; la madre había salido de la sala para buscar una taza de café. Dos semanas después, cuando la niña le contó a su madre lo que había ocurrido en la sala de tratamiento, la madre sufrió un grave trastorno emocional que le provocó una enfermedad física. En una acción contra el médico interpuesta por la madre en nombre propio para obtener una indemnización por causar intencionalmente un sufrimiento emocional grave (intentional infliction of emotional distress), ¿es probable que la madre prevalezca?","No, porque la madre incurrió en negligencia contributiva al dejar a la niña sola con el médico durante el tratamiento.","No, porque la madre no fue ni la víctima directa de la conducta del médico ni testigo presencial contemporánea de esta.","Sí, porque la conducta del médico fue ultrajante.","Sí, porque el sufrimiento de la madre fue la consecuencia natural y previsible de la conducta del médico.",B,D,0.6527,B,0.9752
2,"Un organizador de bodas era propietario de una cabaña de verano junto al lago. Con el fin de facilitar el acceso a la cabaña, situada en una loma sobre el lago, el organizador de bodas celebró un acuerdo con un vecino, propietario del terreno colindante, mediante el cual el vecino, por escrito, otorgó al organizador de bodas un derecho de paso sobre una franja de terreno de 30 pies de ancho y un cuarto de milla de largo a lo largo del margen oriental de la propiedad del vecino. Sin notificar al vecino, el organizador de bodas llevó adelante su plan de mejorar el camino haciéndolo asfaltar para hacerlo más accesible al tráfico de vehículos de motor. Varios años después, el vecino inició un negocio de arena, que le exigía realizar transportes de carga pesada que posteriormente destruyeron la superficie asfaltada del camino. Diez años después de que el vecino iniciara su negocio de arena, el organizador de bodas vendió su propiedad frente al lago a un artista. Poco después de que el artista tomara posesión de la cabaña y la propiedad, el vecino levantó barreras de madera a lo ancho del camino, obstruyendo así el acceso a la propiedad del artista. El interés que el organizador de bodas adquirió sobre el camino de acceso puede describirse mejor como",una servidumbre personal (easement in gross).,una servidumbre implícita por uso previo.,una servidumbre por necesidad.,una servidumbre expresa.,D,A,0.4127,B,0.5914
3,"Un demandante ha demandado a un demandado ante un tribunal del estado en el que ambas partes residen. El demandante alega únicamente una causa de acción derivada de una ley federal, aunque el derecho estatal prevé una causa de acción similar. La ley federal dispone que las reclamaciones fundadas en dicha ley pueden interponerse ante cualquier tribunal competente. La ley aún no ha sido interpretada por ningún tribunal federal. ¿Debe el tribunal estatal conocer del caso?","No, porque los casos derivados del derecho federal deben resolverse en un tribunal federal.","No, porque los tribunales estatales deben abstenerse en los casos derivados del derecho federal hasta que un tribunal federal haya resuelto la cuestión federal.","Sí, porque los tribunales estatales no pueden discriminar los casos derivados del derecho federal.","Sí, porque las partes no pueden litigar ante un tribunal federal, ya que no existe diversidad de ciudadanía entre ellas.",C,B,0.4269,C,0.9986
4,"El competidor de un gerente le envió a este una carta difamatoria en la que lo acusaba de incompetencia profesional y lo calificaba de uno de los peores empresarios de la ciudad. La carta estaba dirigida al gerente. Este la leyó, la guardó en un cajón privado y no volvió a leerla. Posteriormente, intentó demandar al competidor por difamación a raíz de la carta. ¿Es probable que el tribunal acoja la moción de desestimación (motion to dismiss) del demandado, y con qué fundamento? Base su respuesta en la definición de difamación del common law.","Sí, desestimará la demanda sobre la base de que la publicación se hizo únicamente al propio gerente.","Sí, desestimará la demanda sobre la base de que el lenguaje no es perjudicial para la reputación del gerente.","No, no la desestimará porque las circunstancias muestran que concurren todos los elementos de la difamación.","No, no la desestimará porque el demandante en una acción por difamación tiene un derecho absoluto a un juicio con jurado para probar la difamación.",A,C,0.3633,A,0.8104
5,"Un vendedor celebró un contrato para vender un terreno a un comprador por $300,000. El contrato disponía que el cierre tendría lugar 60 días después de la firma del contrato y que, en el cierre, el vendedor transmitiría al comprador un ""título comerciable"" (marketable title) mediante una escritura de renuncia sin garantías de título (quitclaim deed). El contrato no contenía ninguna otra disposición relativa al título que debía entregarse al comprador. Un estudio de títulos reveló que el terreno estaba sujeto a una hipoteca no satisfecha de $50,000 y a una servidumbre de paso sobre una parte del terreno. El comprador sostiene ahora que el título no es comerciable y se ha negado a cerrar la operación. ¿Tiene razón el comprador?","No, porque nada en estos hechos hace que el título no sea comerciable.","No, porque el comprador aceptó recibir una escritura de renuncia sin garantías de título.","Sí, porque la servidumbre de paso hace que el título no sea comerciable.","Sí, porque la hipoteca no satisfecha hace que el título no sea comerciable.",C,A,0.3403,A,0.9818
6,"Un demandante demandó a un demandado por las lesiones que sufrió al ser atropellado por el automóvil del demandado. En el juicio, el demandante declaró que estaba cruzando la calle por dentro del paso de peatones en el momento en que el automóvil del demandado lo golpeó. La acción se desarrolla en una jurisdicción que tiene en vigor una ley que exige a todos los conductores detenerse y permitir que los peatones crucen las calles por los pasos de peatones señalizados. El demandado sostuvo que el demandante se lanzó a la calle fuera del paso de peatones. Además, el demandado declaró que aplicó los frenos de inmediato cuando vio al demandante lanzarse a la calle, pero que no pudo detener su automóvil a tiempo para evitar atropellarlo. En apoyo de su testimonio, el demandado llama a declarar a una vecina para que testifique que ha observado al demandante con frecuencia durante los años que ella ha vivido en esa calle, y que el demandante ""siempre cruza la calle fuera del paso de peatones"". El testimonio de la vecina probablemente será","admitido, porque tiende a demostrar que el demandante fue descuidado.","admitido, porque es probatorio del hábito del demandante de cruzar la calle fuera del paso de peatones.","excluido, porque la vecina no fue testigo presencial del accidente.","excluido, porque su testimonio constituye prueba de carácter inadmisible para demostrar la conducta del demandante en una ocasión concreta.",B,D,0.4241,B,0.977
7,"Varias personas robaron juntas una pintura de un museo de arte. Una de ellas, que era el conductor, fue capturada durante la comisión de otro delito. Le dijo a la policía: ""Yo ni siquiera recibí dinero del museo de arte. Todo fue a parar al primer tipo y al segundo tipo"". Cuando el primer y el segundo tipo son enjuiciados por el robo de la pintura, ¿es admisible ante el tribunal la declaración del conductor?","Sí, como admisión de una parte contraria.","Sí, como declaración contraria a los intereses de los demás acusados.","No, porque se hizo mientras estaba bajo custodia y, por lo tanto, no es fiable.","No, porque la declaración no se hizo durante el curso de la conspiración ni para promoverla y, por lo tanto, constituye testimonio de oídas.",D,A,0.4032,D,0.9464
8,"Un ávido aficionado al béisbol quería comprar entradas para un próximo partido de béisbol que se celebraría en el estadio local. Se puso en contacto con la oficina de venta de entradas del estadio, que le informó de que todas las entradas se pondrían a la venta en el estadio a las 9:00 a. m. del día siguiente. El aficionado, que trabajaba como albañil, se dio cuenta de que no podía ausentarse del trabajo para comprar las entradas. En consecuencia, el aficionado telefoneó a su vecino de al lado y le preguntó si le interesaría ir al estadio a comprar las entradas de béisbol. El vecino le dijo al aficionado que con gusto compraría las entradas para él y que él (el vecino) también quería comprar entradas para sí mismo. Sin embargo, el vecino dijo que su automóvil se había averiado y que no disponía de transporte para llegar al estadio. El aficionado sugirió que podía prestarle su automóvil al vecino. El vecino aceptó y, a la mañana siguiente, los dos hombres se encontraron frente a la casa del aficionado. El aficionado entregó al vecino las llaves de su automóvil y también dinero para comprar sus entradas de béisbol. Acto seguido, el vecino condujo el automóvil del aficionado hasta el estadio, donde compró las entradas para el aficionado y (con su propio dinero) compró también un juego de entradas para sí mismo. El aficionado había dado instrucciones al vecino de devolver el automóvil a la casa del aficionado después de su viaje al estadio. Sin embargo, después de salir del estadio, el vecino decidió visitar a un amigo en un pueblo situado a 120 millas de su casa. Mientras el vecino conducía hacia el pueblo, un automóvil chocó contra él, causando daños significativos al automóvil del aficionado. Se determinó que el costo de reparación del automóvil del aficionado era superior al valor comercial del vehículo. En una acción del aficionado contra el vecino para obtener una indemnización por los daños resultantes del accidente, lo más probable es que el aficionado","no recupere nada, porque el vecino participaba en una empresa conjunta (joint venture) cuando ocurrió el accidente.",recupere el costo de reparación del automóvil.,recupere el valor comercial del automóvil.,"recupere, porque el vecino conducía el vehículo de manera negligente en el momento del accidente.",C,D,0.3918,B,0.874
9,"Un acusado, que era indigente, fue arrestado y acusado de posesión de menos de una onza de marihuana. Conforme a la ley estatal aplicable, la posesión de menos de una onza de marihuana es un delito menor, sancionable con un máximo de un año de cárcel y/o una multa de $500. En el juicio, el acusado se declaró no culpable y solicitó que se le designara un abogado para que lo representara. El juez de primera instancia se negó a acceder a la solicitud de abogado del acusado. Si el acusado es posteriormente declarado culpable, ¿cuál de las siguientes es la pena más severa que puede imponérsele constitucionalmente?",Una multa de $500.,Seis meses de cárcel.,Un año de cárcel.,"Ninguna pena, porque al acusado se le negó el derecho a la asistencia de abogado.",A,D,0.5793,D,0.98
